model,year,state,crossing_years,positive_crossing_years,selected_crossing_years,captured_positive_years,capture
hgb_history,2025,OKLAHOMA,3586,46,359,19,0.41304347826086957
hgb_history,2025,OREGON,1871,12,188,8,0.6666666666666666
hgb_history,2025,PENNSYLVANIA,3595,37,360,16,0.43243243243243246
hgb_history,2025,RHODE ISLAND,32,0,4,0,
hgb_history,2025,SOUTH CAROLINA,2568,40,257,15,0.375
hgb_history,2025,SOUTH DAKOTA,1876,9,188,1,0.1111111111111111
hgb_history,2025,TENNESSEE,2684,43,269,17,0.3953488372093023
hgb_history,2025,TEXAS,9153,194,916,90,0.4639175257731959
hgb_history,2025,UTAH,758,19,76,10,0.5263157894736842
hgb_history,2025,VERMONT,378,3,38,0,0.0
hgb_history,2025,VIRGINIA,1827,23,183,9,0.391304347826087
hgb_history,2025,WASHINGTON,2156,31,216,19,0.6129032258064516
hgb_history,2025,WEST VIRGINIA,1336,9,134,6,0.6666666666666666
hgb_history,2025,WISCONSIN,3958,28,396,10,0.35714285714285715
hgb_history,2025,WYOMING,328,1,33,0,0.0
