model,model_label,calibration,n_crossing_years,n_crossings,positive_crossing_years,base_rate,average_precision,roc_auc,brier,brier_uncalibrated,training_prevalence_brier,brier_skill_vs_prevalence,top10_positive_year_capture,top20_positive_year_capture
prevalence,Training prevalence,uncalibrated,251028,126447,3498,0.013934700511496725,0.013934700511496725,0.5,0.013741244986207168,0.013741244986207168,0.013741244986207168,0.0,0.10034305317324185,0.17953116066323613
exposure,Exposure logistic,isotonic,251028,126447,3498,0.013934700511496725,0.048703307884937166,0.7207347045065972,0.013502095514435201,0.2117789447398936,0.013741244986207168,0.01740377032881757,0.37821612349914235,0.5265866209262435
history_only,History-only logistic,isotonic,251028,126447,3498,0.013934700511496725,0.07290563809587994,0.6906068543834006,0.013298384620272063,0.2285950771305658,0.013741244986207168,0.032228547440907085,0.3819325328759291,0.5388793596340766
full_logistic,Infrastructure + exposure logistic,isotonic,251028,126447,3498,0.013934700511496725,0.054095725719189934,0.7689344087220389,0.01346162328147857,0.1834425267762204,0.013741244986207168,0.020349080815404208,0.3787878787878788,0.5763293310463122
hgb_exposure,Infrastructure + exposure HGB,isotonic,251028,126447,3498,0.013934700511496725,0.07661394857574302,0.7942093261642293,0.013291325500654986,0.16538399066173007,0.013741244986207168,0.032742265057044695,0.4508290451686678,0.6120640365923384
hgb_history,Infrastructure + exposure + history HGB,platt,251028,126447,3498,0.013934700511496725,0.10123781711931616,0.8090904806151443,0.013118516148809618,0.15792498217019127,0.013741244986207168,0.045318225388064626,0.48770726129216696,0.6469411092052602
